,0
너머 (The Other Side),"백예린 (Yerin Baek)


백예린 (Yerin Baek)"
사랑인가 봐,멜로망스(MeloMance)
ESPER,권은비
INVU,태연 (TAEYEON)
꽃말,카더가든
듣고 싶을까,MSG워너비(M.O.M)
RUN2U,STAYC(스테이씨)
SMILEY (Feat. BIBI),YENA (최예나)
abcdefu,GAYLE
존재만으로,원슈타인
취중고백,김민석 (멜로망스)
어제처럼,폴킴(Paul Kim)
ELEVEN,IVE (아이브)
Next Level,aespa
Stronger (What Doesn't Kill You),Kelly Clarkson(켈리 클락슨)
"손을 잡는다거나, 같이 걷는다거나",적재
Step Back,GOT the beat
사랑은 늘 도망가,임영웅
잊을 수 있을까,노을
Can't Control Myself,태연 (TAEYEON)
Dreams Come True,aespa
STAY,"The Kid LAROI


The Kid LAROI"
Weekend,태연 (TAEYEON)
그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH)
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
드라마,아이유(IU)
strawberry moon,아이유(IU)
언제나 사랑해,케이시
O.O,NMIXX
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
노래 (The Song),비투비
그런 밤 (Some Nights),태연 (TAEYEON)
신호등,이무진
Shivers,Ed Sheeran(에드 시런)
Starlight,태일 (TAEIL)
새벽을 믿지 말자,"개코


개코"
다정히 내 이름을 부르면,"경서예지


경서예지"
서랍,10CM
BOP BOP!,VIVIZ (비비지)
우리가 헤어져야 했던 이유,비비(BIBI)
다라리 (DARARI),TREASURE(트레저)
Hush Hush (Feat. MIYAVI) (Korean Ver.),강다니엘(KANG DANIEL)
Light Switch,Charlie Puth(찰리 푸스)
SCIENTIST,TWICE (트와이스)
DM,프로미스나인
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
라일락,아이유(IU)
Savage,aespa
Dynamite,방탄소년단
Bad Habits,Ed Sheeran(에드 시런)
내 생에 아름다운,이예준
Butter,방탄소년단
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
Counting Stars (Feat. Beenzino),BE'O (비오)
찰나가 영원이 될 때 (The Eternal Moment),마크툽(MAKTUB)
벚꽃 엔딩,버스커 버스커(Busker Busker)
GHOST TOWN,Benson Boone
문득,BE'O (비오)
Celebrity,아이유(IU)
Permission to Dance,방탄소년단
Christmas Tree,V
Unstoppable,Sia(시아)
여름비,샘김(Sam Kim)
바라만 본다,MSG워너비(M.O.M)
My Universe,"Coldplay(콜드플레이)


Coldplay(콜드플레이)"
선물,멜로망스(MeloMance)
"아주, 천천히",비비(BIBI)
눈이 오잖아(Feat.헤이즈),이무진
"[19금]
Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
겨울잠,아이유(IU)
호랑수월가,탑현
Queendom,Red Velvet (레드벨벳)
너 아니면 안돼,먼데이 키즈(Monday Kiz)
WA DA DA,Kep1er (케플러)
"나만, 봄",볼빨간사춘기
"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인(Whee In)
너의 모든 순간,성시경
만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick)
대낮에 한 이별,"선예


선예"
오르트구름,윤하(Younha/ユンナ)
Madeleine Love,CHEEZE(치즈)
사랑했었다 (Still love you),"이홍기 (FT아일랜드)


이홍기 (FT아일랜드)"
Tiny Riot,Sam Ryder
어른아이 (Toddler),태연 (TAEYEON)
낙하 (with 아이유),AKMU(악뮤)
OHAYO MY NIGHT,"디핵(D-Hack)


디핵(D-Hack)"
"삼성동 (Feat. Kid Wine, Milena (밀레나))",PATEKO (파테코)
Blueming,아이유(IU)
Perhaps Love (사랑인가요) (duet with J),하울(HowL)
우아힙 (WooAh HIP),마마돌 (M.M.D)
占 (TANK),NMIXX
너를 생각해,주시크 (Joosiq)
그대라는 사치,한동근
Wait (from ‘Three Months’),"Troye Sivan(트로이 시반)


Troye Sivan(트로이 시반)"
Off My Face,Justin Bieber(저스틴 비버)
이럴거면 그러지말지 (feat. Young K),백아연
제주도의 푸른 밤,태연 (TAEYEON)
SOLO,제니 (JENNIE)
WAVE,ATEEZ(에이티즈)
